id,name,current_party,current_district,current_chamber,given_name,family_name,gender,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_email,capitol_voice,capitol_fax,district_address,district_email,district_voice,district_fax,twitter,youtube,instagram,facebook
ocd-person/16ba6021-423d-4b0d-b899-d2fe18778c12,Brad Hutto,Democratic,40,upper,Brad,Hutto,,,,,http://www.scstatehouse.gov/images/members/0912499891.jpg,http://www.scstatehouse.gov/member.php?code=0912499891,http://www.scstatehouse.gov/member.php?chamber=S;http://www.scstatehouse.gov/member.php?code=0912499891,510 Gressette Bldg.Columbia 29201,,803-212-6140,,P.O. Box 1084Orangeburg 29116-1084,,803-536-1808,,,,,
ocd-person/aa158d61-1373-4c4a-9ad3-ea74bf422cc3,Brandon Michael Newton,Republican,45,lower,Brandon Michael,Newton,,,,,http://www.scstatehouse.gov/images/members/1418607785.jpg,http://www.scstatehouse.gov/member.php?code=1418607785,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=1418607785,404D Blatt Bldg.Columbia 29201,,803-212-6874,,,,,,,,,
ocd-person/1b3de8c5-9e0b-488a-a49d-1c74454678df,Bruce M. Bryant,Republican,48,lower,Bruce M.,Bryant,,,,,http://www.scstatehouse.gov/images/members/0234090881.jpg,http://www.scstatehouse.gov/member.php?code=0234090881,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=0234090881,432A Blatt Bldg.Columbia 29201,,803-212-6888,,,,,,,,,
ocd-person/d4974849-0939-472c-9862-4d760889125e,Bruce W. Bannister,Republican,24,lower,Bruce,Bannister,,,,,http://www.scstatehouse.gov/images/members/0103409079.jpg,http://www.scstatehouse.gov/member.php?code=0103409079,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=0103409079,312B Blatt Bldg.Columbia 29201,,803-212-6944,,P.O. Box 10007Greenville 29603,,864-676-9250,,,,,
ocd-person/bbff9a4c-7b59-4538-b869-64ba0c8431ff,"Cally R. ""Cal"" Forrest",Republican,39,lower,"Cally R. ""Cal""",Forrest,,,,,http://www.scstatehouse.gov/images/members/0608238564.jpg,http://www.scstatehouse.gov/member.php?code=0608238564,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=0608238564,323A Blatt Bldg.Columbia 29201,,803-212-6938,,137 N. Railroad Ave.Monetta 29105,,803-685-5576,,,,,
ocd-person/c3b55867-85d7-4bf2-b1a0-30dd924ae734,Carl L. Anderson,Democratic,103,lower,Carl,Anderson,,,,,http://www.scstatehouse.gov/images/members/0021590907.jpg,http://www.scstatehouse.gov/member.php?code=0021590907,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=0021590907,304C Blatt Bldg.Columbia 29201,,803-734-2933,,P.O. Box 694Georgetown 29442,,843-546-5332,,,,,
ocd-person/18b39487-6885-42a3-a150-69c114a362e6,Cezar E. McKnight,Democratic,101,lower,Cezar E.,McKnight,,,,,http://www.scstatehouse.gov/images/members/1276136211.jpg,http://www.scstatehouse.gov/member.php?code=1276136211,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=1276136211,314A Blatt Bldg.Columbia 29201,,803-212-6926,,P.O. Box 688Lake City 29560,,843-372-3323,,,,,
ocd-person/2432a9be-a476-4dae-966c-74f01e24fdbb,Chandra E. Dillard,Democratic,23,lower,Chandra,Dillard,,,,,http://www.scstatehouse.gov/images/members/0479545397.jpg,http://www.scstatehouse.gov/member.php?code=0479545397,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=0479545397,414B Blatt Bldg.Columbia 29201,,803-212-6791,,5 Alleta Ave.Greenville 29607,,864-233-6549,,,,,
ocd-person/0d408610-fa33-4434-abc6-3efd88a4b3d1,Chauncey K. Gregory,Republican,16,upper,Chauncey,Gregory,,,,,http://www.scstatehouse.gov/images/members/0711363551.jpg,http://www.scstatehouse.gov/member.php?code=0711363551,http://www.scstatehouse.gov/member.php?chamber=S;http://www.scstatehouse.gov/member.php?code=0711363551,512 Gressette Bldg.Columbia 29201,,803-212-6148,,P.O. Box 1381Lancaster 29721,,803-289-6211,,,,,
ocd-person/302b70c9-f60e-4227-ad88-a0caee6d50da,Chip Huggins,Republican,85,lower,Chip,Huggins,,,,,http://www.scstatehouse.gov/images/members/0897727165.jpg,http://www.scstatehouse.gov/member.php?code=0897727165,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=0897727165,202 Blatt Bldg.Columbia 29201,,803-212-6812,,308 Wayworth CourtColumbia 29212,,803-732-4418,,,,,
ocd-person/1dad9d19-81d6-445c-8c7e-3c014bff257b,Chris Murphy,Republican,98,lower,Christopher,Murphy,,,,,http://www.scstatehouse.gov/images/members/1394318015.jpg,http://www.scstatehouse.gov/member.php?code=1394318015,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=1394318015,308D Blatt Bldg.Columbia 29201,,803-212-6925,,4238 Persimmon Woods DriveN. Charleston 29420,,843-832-1120,,,,,
ocd-person/f9925f2e-d43e-47ff-ba74-f670b65d96e7,"Christopher R. ""Chris"" Hart",Democratic,73,lower,Christopher,Hart,,,,,http://www.scstatehouse.gov/images/members/0770454453.jpg,http://www.scstatehouse.gov/member.php?code=0770454453,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=0770454453,432B Blatt Bldg.Columbia 29201,,803-734-3061,,5219 Burke Ave.Columbia 29203,,803-771-7701,,,,,
ocd-person/728e5331-d2ec-4c21-a271-be37ae8843ff,"Christopher Sloan ""Chris"" Wooten",Republican,69,lower,"Christopher Sloan ""Chris""",Wooten,,,,,http://www.scstatehouse.gov/images/members/1978408854.jpg,http://www.scstatehouse.gov/member.php?code=1978408854,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=1978408854,323D Blatt Bldg.Columbia 29201,,803-212-6897,,5347 B Sunset Blvd.Lexington 29072,,803-609-1084,,,,,
ocd-person/85b6c740-53c9-4231-aa87-161e816738a5,"Converse A ""Con"" Chellis, IV",Republican,94,lower,"Converse A ""Con"" Chellis,",IV,,,,,http://www.scstatehouse.gov/images/members/0350568140.jpg,http://www.scstatehouse.gov/member.php?code=0350568140,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=0350568140,,,,,216 Marion AvenueSummerville 29483,,843-873-1584,,,,,
ocd-person/52ab3f52-ec8b-4268-bfb2-16322df47839,Craig A. Gagnon,Republican,11,lower,Craig A.,Gagnon,,,,,http://www.scstatehouse.gov/images/members/0632954470.jpg,http://www.scstatehouse.gov/member.php?code=0632954470,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=0632954470,436A Blatt Bldg.Columbia 29201,,803-212-6934,,504 Church St.Abbeville 29620,,864-366-4112,,,,,
ocd-person/0ed8d824-c5b2-47c6-9970-2c475cbfd9ac,"Daniel B. ""Danny"" Verdin, III",Republican,9,upper,Daniel,Verdin,,,,,http://www.scstatehouse.gov/images/members/1874999775.jpg,http://www.scstatehouse.gov/member.php?code=1874999775,http://www.scstatehouse.gov/member.php?chamber=S;http://www.scstatehouse.gov/member.php?code=1874999775,412 Gressette Bldg.Columbia 29201,,803-212-6250,,P.O. Box 272Laurens 29360,,864-682-8914,,,,,
ocd-person/4eca904a-5153-440d-8e5c-4c9e056a1dd1,Darrell Jackson,Democratic,21,upper,Darrell,Jackson,,,,,http://www.scstatehouse.gov/images/members/0920454435.jpg,http://www.scstatehouse.gov/member.php?code=0920454435,http://www.scstatehouse.gov/member.php?chamber=S;http://www.scstatehouse.gov/member.php?code=0920454435,612 Gressette Bldg.Columbia 29201,,803-212-6048,,608 Motley Rd.Hopkins 29061,,803-776-6954,,,,,
ocd-person/636a70ee-bb66-42c4-bafa-251dc34ae811,"David J. Mack, III",Democratic,109,lower,David,Mack,,,,,http://www.scstatehouse.gov/images/members/1129545319.jpg,http://www.scstatehouse.gov/member.php?code=1129545319,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=1129545319,328D Blatt Bldg.Columbia 29201,,803-734-3192,,4340 Evanston Blvd.North Charleston 29418,,843-760-0198,,,,,
ocd-person/14b0abeb-70fd-404b-9f55-ff2e75e2c7ef,David R. Hiott,Republican,4,lower,David,Hiott,,,,,http://www.scstatehouse.gov/images/members/0848863535.jpg,http://www.scstatehouse.gov/member.php?code=0848863535,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=0848863535,411 Blatt Bldg.Columbia 29201,,803-734-3022,,P.O. Box 997Pickens 29671,,864-878-9832,,,,,
ocd-person/08cc0e0f-26e0-4117-8591-2ac463f6fbe6,Dennis C. Moss,Republican,29,lower,Dennis,Moss,,,,,http://www.scstatehouse.gov/images/members/1379545289.jpg,http://www.scstatehouse.gov/member.php?code=1379545289,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=1379545289,503B Blatt Bldg.Columbia 29201,,803-734-3073,,306 Silver Cir.Gaffney 29340,,864-487-2121,,,,,
ocd-person/7f17bd25-fbc5-48a1-a69a-5c9be03b66f5,Dwight A. Loftis,Republican,19,lower,Dwight,Loftis,,,,,http://www.scstatehouse.gov/images/members/1111363503.jpg,http://www.scstatehouse.gov/member.php?code=1111363503,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=1111363503,522C Blatt Bldg.Columbia 29201,,803-734-3101,,P.O. Box 14784Greenville 29610,,864-834-5760,,,,,
ocd-person/e77c3241-08ec-4986-9b1b-500128bf0ecb,"Edward R. ""Eddie"" Tallon, Sr.",Republican,33,lower,Edward,Tallon,,,,,http://www.scstatehouse.gov/images/members/1785227059.jpg,http://www.scstatehouse.gov/member.php?code=1785227059,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=1785227059,518B Blatt Bldg.Columbia 29201,,803-212-6893,,140 Bagwell Farm Rd.Spartanburg 29302,,864-596-1478,,,,,
ocd-person/6f8b2c6d-52bc-4133-bacf-6b5712c5e539,"F. Michael ""Mike"" Sottile",Republican,112,lower,F. Michael,Sottile,,,,,http://www.scstatehouse.gov/images/members/1742045246.jpg,http://www.scstatehouse.gov/member.php?code=1742045246,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=1742045246,310A Blatt Bldg.Columbia 29201,,803-212-6880,,132 Sparrow Dr.Isle of Palms 29451,,843-886-8759,,,,,
ocd-person/2915a4f1-2893-4f9d-8624-5549d1d84987,Floyd Nicholson,Democratic,10,upper,Floyd,Nicholson,,,,,http://www.scstatehouse.gov/images/members/1419318012.jpg,http://www.scstatehouse.gov/member.php?code=1419318012,http://www.scstatehouse.gov/member.php?chamber=S;http://www.scstatehouse.gov/member.php?code=1419318012,610 Gressette Bldg.Columbia 29201,,803-212-6040,,527 Bryte St.Greenwood 29649,,864-223-9460,,,,,
ocd-person/bc549137-780f-4b77-9438-61a92d3dce48,"G. Murrell Smith, Jr.",Republican,67,lower,G. Murrell,Smith,,,,,http://www.scstatehouse.gov/images/members/1703408887.jpg,http://www.scstatehouse.gov/member.php?code=1703408887,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=1703408887,420B Blatt Bldg.Columbia 29201,,803-734-3042,,P.O. Box 580Sumter 29151,,803-469-4416,,,,,
ocd-person/1a3a8ef7-3cda-41ae-a686-dcd98045ddf8,Garry R. Smith,Republican,27,lower,Garry,Smith,,,,,http://www.scstatehouse.gov/images/members/1703977069.jpg,http://www.scstatehouse.gov/member.php?code=1703977069,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=1703977069,534 Blatt Bldg.Columbia 29201,,803-734-3141,,210 Foxhound Rd.Simpsonville 29680,,864-963-0337,,,,,
ocd-person/26a0f7b8-63a4-4526-8399-669d4f7b86e8,Gary E. Clary,Republican,3,lower,Gary E.,Clary,,,,,http://www.scstatehouse.gov/images/members/0353551095.jpg,http://www.scstatehouse.gov/member.php?code=0353551095,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=0353551095,402D Blatt Bldg.Columbia 29201,,803-212-6908,,P.O. Box 1645Clemson 29633,,864-415-0886,,,,,
ocd-person/2ff21c9e-e03e-4f5c-ac4e-7b1e5633969d,"George E. ""Chip"" Campsen, III",Republican,43,upper,George,Campsen,,,,,http://www.scstatehouse.gov/images/members/0302272691.jpg,http://www.scstatehouse.gov/member.php?code=0302272691,http://www.scstatehouse.gov/member.php?chamber=S;http://www.scstatehouse.gov/member.php?code=0302272691,305 Gressette Bldg.Columbia 29201,,803-212-6340,,"360 Concord St.Suite 201, Charleston 29401",,843-886-8454,,,,,
ocd-person/2b3fc123-0a9b-4324-b406-1421260f7ee6,Gerald Malloy,Democratic,29,upper,Gerald,Malloy,,,,,http://www.scstatehouse.gov/images/members/1131533956.jpg,http://www.scstatehouse.gov/member.php?code=1131533956,http://www.scstatehouse.gov/member.php?chamber=S;http://www.scstatehouse.gov/member.php?code=1131533956,513 Gressette Bldg.Columbia 29201,,803-212-6172,,1216 Salem Rd.Hartsville 29550,,843-332-5533,,,,,
ocd-person/b494d1f6-d98e-4a8c-895c-6cb73ec892b8,Gilda Cobb-Hunter,Democratic,66,lower,Gilda,Cobb-Hunter,,,,,http://www.scstatehouse.gov/images/members/0372727228.jpg,http://www.scstatehouse.gov/member.php?code=0372727228,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=0372727228,309C Blatt Bldg.Columbia 29201,,803-734-2809,,4188 Five Chop RoadOrangeburg 29115,,803-531-1257,,,,,
ocd-person/cfe2d50f-0241-496c-9557-2a3d6edef4fd,Glenn G. Reese,Democratic,11,upper,Glenn,Reese,,,,,http://www.scstatehouse.gov/images/members/1527272544.jpg,http://www.scstatehouse.gov/member.php?code=1527272544,http://www.scstatehouse.gov/member.php?chamber=S;http://www.scstatehouse.gov/member.php?code=1527272544,502 Gressette Bldg.Columbia 29201,,803-212-6108,,"507 Fagan DriveLake Bowen, Inman 29349",,864-592-2984,,,,,
ocd-person/d09cb270-bb44-44e7-86d6-a880ce40d93d,Greg Hembree,Republican,28,upper,Greg,Hembree,,,,,http://www.scstatehouse.gov/images/members/0819318084.jpg,http://www.scstatehouse.gov/member.php?code=0819318084,http://www.scstatehouse.gov/member.php?chamber=S;http://www.scstatehouse.gov/member.php?code=0819318084,604 Gressette Bldg.Columbia 29201,,803-212-6016,,P. O. Box 944N. Myrtle Beach 29597,,843-222-1001,,,,,
ocd-person/8b81073b-87da-4f5c-aacb-f387b69456cc,"Harvey S. Peeler, Jr.",Republican,14,upper,Harvey,Peeler,,,,,http://www.scstatehouse.gov/images/members/1454545280.jpg,http://www.scstatehouse.gov/member.php?code=1454545280,http://www.scstatehouse.gov/member.php?chamber=S;http://www.scstatehouse.gov/member.php?code=1454545280,213 Gressette Bldg.Columbia 29201,,803-212-6430,,P.O. Box 742Gaffney 29342,,864-489-3766,,,,,
ocd-person/814c55e9-568f-403e-9e8a-ee3859c07300,Heather Ammons Crawford,Republican,68,lower,Heather Ammons,Crawford,,,,,http://www.scstatehouse.gov/images/members/0428977222.jpg,http://www.scstatehouse.gov/member.php?code=0428977222,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=0428977222,522A Blatt Bldg.Columbia 29201,,803-212-6933,,P.O. Box 31385Myrtle Beach 29588,,843-915-5130,,,,,
ocd-person/558988f4-83b4-4635-a34a-946bf9e73cbd,"Hugh K. Leatherman, Sr.",Republican,31,upper,Hugh,Leatherman,,,,,http://www.scstatehouse.gov/images/members/1068181690.jpg,http://www.scstatehouse.gov/member.php?code=1068181690,http://www.scstatehouse.gov/member.php?chamber=S;http://www.scstatehouse.gov/member.php?code=1068181690,111 Gressette Bldg.Columbia 29201,,803-212-6640,,1817 Pineland Ave.Florence 29501,,843-667-1152,,,,,
ocd-person/13c06705-600b-49d0-a5a0-393668a03e73,Ivory Torrey Thigpen,Democratic,79,lower,Ivory Torrey,Thigpen,,,,,http://www.scstatehouse.gov/images/members/1815908873.jpg,http://www.scstatehouse.gov/member.php?code=1815908873,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=1815908873,333A Blatt Bldg.Columbia 29201,,803-212-6794,,P.O. Box 291416Columbia 29229,,803-865-8738,,,,,
ocd-person/1ee1c7ea-73f4-4a0a-a16a-f802692f75c3,J. Anne Parks,Democratic,12,lower,J. Anne,Parks,,,,,http://www.scstatehouse.gov/images/members/1434090737.jpg,http://www.scstatehouse.gov/member.php?code=1434090737,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=1434090737,434D Blatt Bldg.Columbia 29201,,803-734-3069,,P.O. Box 181Greenwood 29648,,864-223-3193,,,,,
ocd-person/10d7814d-009b-4d21-a048-2672f48fe130,J. David Weeks,Democratic,51,lower,J. David,Weeks,,,,,http://www.scstatehouse.gov/images/members/1898863409.jpg,http://www.scstatehouse.gov/member.php?code=1898863409,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=1898863409,330C Blatt Bldg.Columbia 29201,,803-734-3102,,2 Marlborough CourtSumter 29154,,803-775-4228,,,,,
ocd-person/99ada22b-98f9-400c-b0cf-1a548ed72257,J. Gary Simrill,Republican,46,lower,J.,Simrill,,,,,http://www.scstatehouse.gov/images/members/1697727069.jpg,http://www.scstatehouse.gov/member.php?code=1697727069,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=1697727069,518C Blatt Bldg.Columbia 29201,,803-734-3138,,1515 Alexander Rd.Rock Hill 29732,,803-328-8089,,,,,
ocd-person/f4d5a02c-1b98-4fd1-9db4-35b1b8a79d18,"J. Thomas McElveen, III",Democratic,35,upper,J. Thomas,McElveen,,,,,http://www.scstatehouse.gov/images/members/1234090761.jpg,http://www.scstatehouse.gov/member.php?code=1234090761,http://www.scstatehouse.gov/member.php?chamber=S;http://www.scstatehouse.gov/member.php?code=1234090761,508 Gressette Bldg.Columbia 29201,,803-212-6132,,P. O. Box 57Sumter 29151,,803-778-0597,,,,,
ocd-person/ad25d5ef-8d4f-425f-9dbd-0b018f1771cc,J. Todd Rutherford,Democratic,74,lower,J. Todd,Rutherford,,,,,http://www.scstatehouse.gov/images/members/1614772534.jpg,http://www.scstatehouse.gov/member.php?code=1614772534,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=1614772534,335B Blatt Bldg.Columbia 29201,,803-734-9441,,2113 Park StreetColumbia 29201,,803-799-8633,,,,,
ocd-person/6f92ad6a-95c7-4e74-aa91-05fd5448c99a,JA Moore,Democratic,15,lower,JA,Moore,,,,,http://www.scstatehouse.gov/images/members/1356818019.jpg,http://www.scstatehouse.gov/member.php?code=1356818019,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=1356818019,,,,,P.O. Box 62103North Charleston 29419,,843-640-0130,,,,,
ocd-person/0193ab02-383a-4b92-a810-00fd0bf0fb98,"Jackie E. ""Coach"" Hayes",Democratic,55,lower,Jackie,Hayes,,,,,http://www.scstatehouse.gov/images/members/0802272631.jpg,http://www.scstatehouse.gov/member.php?code=0802272631,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=0802272631,333C Blatt Bldg.Columbia 29201,,803-734-3099,,240 Bermuda Rd.Dillon 29536,,843-774-6125,,,,,
ocd-person/f9b167fd-3547-4aad-b290-13b05bb35228,"James H. ""Jay"" Lucas",Republican,65,lower,James,Lucas,,,,,http://www.scstatehouse.gov/images/members/1126136229.jpg,http://www.scstatehouse.gov/member.php?code=1126136229,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=1126136229,506 Blatt Bldg.Columbia 29201,,803-734-3125,,1744 Garland Dr.Hartsville 29550,,843-383-9421,,,,,
ocd-person/6ffe4e57-021a-4424-bc36-b933c8e18477,"James Mikell ""Mike"" Burns",Republican,17,lower,"James Mikell ""Mike""",Burns,,,,,http://www.scstatehouse.gov/images/members/0257954515.jpg,http://www.scstatehouse.gov/member.php?code=0257954515,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=0257954515,326B Blatt Bldg.Columbia 29201,,803-212-6891,,100 Old Locust Hill Rd.Taylors 29687,,864-895-4593,,,,,
ocd-person/3d40ff3f-ddbf-4611-a366-9be7d55b9247,Jason Elliott,Republican,22,lower,Jason,Elliott,,,,,http://www.scstatehouse.gov/images/members/0529545391.jpg,http://www.scstatehouse.gov/member.php?code=0529545391,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=0529545391,312D Blatt Bldg.Columbia 29201,,803-212-6877,,116 E. Montclair Ave.Greenville 29609,,864-235-5308,,,,,
ocd-person/99dd735b-3ab4-4362-a2c5-f1b5c9257e52,"Jeffrey A. ""Jeff"" Bradley",Republican,123,lower,"Jeffrey A. ""Jeff""",Bradley,,,,,http://www.scstatehouse.gov/images/members/0171590889.jpg,http://www.scstatehouse.gov/member.php?code=0171590889,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=0171590889,320A Blatt Bldg.Columbia 29201,,803-212-6928,,304 Seabrook DriveHilton Head Island 29926,,843-342-6918,,,,,
ocd-person/7b2dc589-67e0-4286-9a21-73a69a299ef7,"Jeffrey E. ""Jeff"" Johnson",Republican,58,lower,"Jeffrey E. ""Jeff""",Johnson,,,,,http://www.scstatehouse.gov/images/members/0938636251.jpg,http://www.scstatehouse.gov/member.php?code=0938636251,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=0938636251,434B Blatt Bldg.Columbia 29201,,803-212-6946,,7223 Pee Dee Hwy.Conway 29527,,843-397-0079,,,,,
ocd-person/56f713aa-3887-4e45-996d-ca60006edd99,"Jerry N. Govan, Jr.",Democratic,95,lower,Jerry,Govan,,,,,http://www.scstatehouse.gov/images/members/0702272643.jpg,http://www.scstatehouse.gov/member.php?code=0702272643,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=0702272643,530B Blatt Bldg.Columbia 29201,,803-734-3012,,P.O. Box 77Orangeburg 29116,,803-531-1158,,,,,
ocd-person/f13ce02d-81c1-4938-abdc-4ac5dcf4e508,"Jimmy C. Bales, Ed.D.",Democratic,80,lower,Jimmy,Bales,,,,,http://www.scstatehouse.gov/images/members/0097727261.jpg,http://www.scstatehouse.gov/member.php?code=0097727261,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=0097727261,503A Blatt Bldg.Columbia 29201,,803-734-3107,,1515 Crossing Creek Rd.Eastover 29044,,803-776-6416,,,,,
